Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000585304056064689,-4.37028461197642E-08,-0.018822668135602,0,0,0,0.0304914839046375,1.03216791112766E-05,-1.90542931242752E-11,-1.46838824049927E-08,9.91871019185169E-06,-3.27280089518376E-12,1.35143184826939E-05,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/base_link.STL,,E2镜向RH56DFTP-0R-2/E2镜向法兰franka-1,l_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_1,0.00173304320860269,-0.00982857619928362,-0.00584336388606012,0,0,0,0.00485755757173485,1.88879216173086E-07,5.3155604955107E-09,-9.07013305805667E-10,1.59670449386288E-07,5.14392642729788E-09,1.63911963279511E-07,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_1.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_1.STL,,DMZ0219-1/拇指基座-1,l_1,a_1,left_thumb_1_joint,revolute,0.02101,0.0269,-0.0826,3.1416,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
left_thumb_2,0.0295490509739339,0.0118812651168662,0.00594035773316779,0,0,0,0.0385564917668047,1.01633926234144E-05,-2.86280002841789E-06,1.63578309072588E-06,1.30685458690558E-05,5.09318132240751E-07,1.91592281253119E-05,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_2.STL,,DMZ0219-1/拇指近端橡胶V2.0-1;DMZ0219-1/拇指近端外壳A-V2.0-1;DMZ0219-1/拇指近端外壳B-V2.0-1;DMZ0219-1/拇指近端橡胶V2.0-0529-1,l_2,a_2,left_thumb_2_joint,revolute,0.013438,-0.012862,-0.0076,1.5708,0,-1.5708,left_thumb_1,-0.17365,0,-0.98481,1,2,0,1,,,,,,,,
left_thumb_3,0.0120225705684245,-0.000597295779975589,0.00903834778659198,0,0,0,0.0134342232166366,1.79859404303318E-06,-2.05040802550293E-07,1.24623144023122E-07,1.26951076485954E-06,3.73539245508744E-08,2.48056879850076E-06,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_3.STL,,DMZ0219-1/拇指中节橡胶V2.0-1;DMZ0219-1/拇指中节外壳A-V2.0-2;DMZ0219-1/拇指中节外壳B-V2.0-1,l_3,a_3,left_thumb_3_joint,revolute,0.052954,0.032799,-0.0093372,0,0,0,left_thumb_2,-0.17365,0,-0.98481,1,2,0,1,,,,,,,,
left_thumb_force_sensor_2,-6.77023624058581E-05,0.00023698475781915,-0.000558267314746952,0,0,0,0.000119024235960817,1.0224514684709E-09,-6.7224050154412E-13,-1.14240885059404E-12,9.97038953350155E-10,-8.16379211588012E-12,1.9906514552054E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_2.STL,,DMZ0219-1/拇指中节传感器-1,l_thumb_force_sensor_2,,left_thumb_force_sensor_2_joint,fixed,0.0080283,0.016443,0.00982,0.96258,1.4071,3.0993,left_thumb_3,0,0,0,,,,,,,,,,,,
left_thumb_4,0.0145367921829131,0.00793906783568243,0.00759114172861285,0,0,0,0.0106016120930206,1.28278634750881E-06,-2.46101084073557E-07,-1.49544920702351E-08,6.82989122078725E-07,4.35367399454704E-08,1.20058597058136E-06,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_4.STL,,DMZ0219-1/拇指指尖橡胶V2.0-1;DMZ0219-1/拇指指尖外壳V2.0-0529-2,l_4,a_4,left_thumb_4_joint,revolute,0.01865,0.013373,-0.0022731,0,0,0,left_thumb_3,-0.17365,0,-0.98481,1,2,0,1,,,,,,,,
left_thumb_force_sensor_3,2.75155276924233E-07,0.000696644789683842,-0.000425123283601309,0,0,0,0.000169894176021865,3.91695563569899E-09,-3.84881369197044E-15,2.56832047427422E-13,1.41883437204732E-09,-1.72956740679056E-10,5.29524834856028E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_3.STL,,DMZ0219-1/拇指指尖传感器2-1,l_thumb_force_sensor_3,,left_thumb_force_sensor_3_joint,fixed,0.0076349,0.020486,0.0088094,0.64092,1.3963,-3.1415,left_thumb_4,0,0,0,,,,,,,,,,,,
left_thumb_force_sensor_4,1.53421438291515E-06,-0.000421608116505295,-0.000751976730520715,0,0,0,1.66991074236564E-05,2.2577332779412E-11,2.52363008433222E-15,-5.30005584942463E-15,2.30774417460483E-11,1.74406833632406E-13,4.31637280809456E-11,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_4.STL,,DMZ0219-1/拇指指尖传感器1-1,l_thumb_force_sensor_4,,left_thumb_force_sensor_4_joint,fixed,0.018831,0.027914,0.0068352,1.7521,1.3962,-3.1401,left_thumb_4,0,0,0,,,,,,,,,,,,
left_thumb_force_sensor_1,-0.000315253413178729,8.00831279870462E-05,-0.000511444693418101,0,0,0,0.000234351522411044,6.82585459105814E-09,1.33330535751836E-11,-9.2406741263255E-12,2.91720696731406E-09,-1.79692153239885E-10,9.68920415325705E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_thumb_force_sensor_1.STL,,DMZ0219-1/拇指近端传感器-1,l_thumb_force_sensor_1,,left_thumb_force_sensor_1_joint,fixed,0.023412,0.033251,0.0070079,1.1285,1.3976,3.1383,left_thumb_2,0,0,0,,,,,,,,,,,,
left_index_1,0.00219464981664157,0.0127400599495741,-0.00664960432625125,0,0,0,0.00677571235915724,1.1315295854808E-06,-7.34320814643748E-08,-7.01592854991073E-12,5.50274101365216E-07,5.17537867809725E-11,1.17474430240968E-06,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_index_1.STL,,E2镜向RH56DFTP-0R-2/E2镜向中节组合-2,l_5,a_5,left_index_1_joint,revolute,0.00056467,0.038679,-0.1564,-1.5359,0,0,base_link,0,0,-1,1,2,0,1,,,,,,,,
