Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000585306500185456,4.36854347835025E-08,-0.018822662550448,0,0,0,0.0823270399346991,2.78685380929126E-05,4.78139504897991E-11,-3.96465915290869E-08,2.67805393378652E-05,1.05835026288552E-11,3.64886767005748E-05,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/base_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/base_link.STL,,法兰franka_R_R-1,r_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_plam_1,-0.00207519993923054,-9.21101446458173E-05,0.0585710314508929,0,0,0,0.208920507195976,0.000211577735808353,6.89506234449081E-07,-1.55252772726009E-06,0.000164132017331388,3.53868234106201E-08,9.07823886709971E-05,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_1.STL,,镜向E2镜向手掌外观0910.stp_L_R-3;四代手接插件(6).step_R_R-3;侧摆齿条_R_R-1;骨架组件_R_R-2;027掌心力控模型_R_R-13;零件1_R_R-3;RH56-8 驱动器推杆螺丝 四指 （新）_R_R-3;RH56-8 驱动器推杆螺丝 四指 （新）_R_R-2;零件1_R_R-2;零件1_R_R-1;RH56-8 驱动器推杆螺丝 四指 （新）_R_R-4;RH56-8 驱动器推杆螺丝 四指 （新）_R_R-1;选准踢踢踢腿_R_R-1;弯曲齿条_R_R-1;027掌心力控模型_R_R-12;力控球轴承-球笼A_R_R-4;力控球轴承-球笼A_R_R-2;最新027力控版本_R_R-13;最新027力控版本_R_R-12;最新027力控版本_R_R-14;最新027力控版本_R_R-11;垫圈_R_R-1;力控球轴承-球笼A_R_R-5;力控球轴承-球笼A_R_R-1,r_plam,,right_plam_1_joint,fixed,0,0,-0.0305,3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
right_plam_2,-0.0282100608260238,0.000132227033478396,0.0839719055779739,0,0,0,0.0205048839537772,2.37673054390923E-05,-1.16564699359491E-08,-5.54590775737826E-08,1.27806531035507E-05,1.11375407726514E-07,1.20388397724151E-05,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_2.STL,,E2外壳后盖_L_R-1,r_plam,,right_plam_2_joint,fixed,0,0,0,0,0,0,right_plam_1,0,0,0,,,,,,,,,,,,
right_plam_force_sensor,0.000120426998705993,0.000717269735097647,-0.000692893490077784,0,0,0,0.00240887838334331,1.79240988219058E-07,3.52975851762018E-10,-2.06008106501924E-10,5.01925283180791E-07,-4.23311043076944E-10,6.80058313221634E-07,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_force_sensor.STL,0.411764705882353,0.411764705882353,0.411764705882353,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_plam_force_sensor.STL,,掌心定位_R_R-1,r_plam_force_sensor,,right_plam_force_sensor_joint,fixed,0.012296,0.00036819,0.089101,1.5708,0,1.5708,right_plam_1,0,0,0,,,,,,,,,,,,
right_thumb_1,0.00173304322915757,0.00982857619697067,-0.00584336388499717,0,0,0,0.00485755756972651,1.88879216251872E-07,-5.31556018792829E-09,-9.07012508691537E-10,1.59670449189865E-07,-5.14392654101346E-09,1.6391196323783E-07,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_1.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_1.STL,,DMZ0219_L_R-1/拇指基座_L_R-1,l_1,a_1,right_thumb_1_joint,revolute,0.02101,-0.0269,-0.0826,-3.1416,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
right_thumb_2,-0.0295558445916272,0.0118815542806718,0.0059773906384278,0,0,0,0.0385554861475944,1.0163919061369E-05,2.86409651516777E-06,-1.63803657656826E-06,1.30682656357704E-05,5.00459111512167E-07,1.91578296898131E-05,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_2.STL,,DMZ0219_L_R-1/拇指近端橡胶V2.0_L_R-1;DMZ0219_L_R-1/拇指近端外壳B-V2.0_L_R-1;DMZ0219_L_R-1/拇指近端外壳A-V2.0_L_R-1;DMZ0219_L_R-1/拇指近端橡胶V2.0-0529_L_R-1,l_2,a_2,right_thumb_2_joint,revolute,0.013438,0.012862,-0.0076,1.5708,0,-1.5708,right_thumb_1,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_3,-0.0120266284645432,-0.00059730964577925,0.00906065285946815,0,0,0,0.0134343727200358,1.79828525828797E-06,2.05448537551033E-07,-1.23728886538176E-07,1.2695159835182E-06,3.50331275014075E-08,2.48090611406257E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_3.STL,,DMZ0219_L_R-1/拇指中节橡胶V2.0_L_R-1;DMZ0219_L_R-1/拇指中节外壳B-V2.0_L_R-1;DMZ0219_L_R-1/拇指中节外壳A-V2.0_L_R-2,l_3,a_3,right_thumb_3_joint,revolute,-0.052954,0.032799,-0.0093372,0,0,0,right_thumb_2,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_force_sensor_2,6.77003975447232E-05,-0.000236985202900622,-0.000558267741289802,0,0,0,0.000119024197892742,1.02244976989544E-09,-6.74105007093921E-13,1.14255898493093E-12,9.97039736805973E-10,8.16377458719893E-12,1.99065057325864E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_force_sensor_2.STL,,DMZ0219_L_R-1/拇指中节传感器_L_R-1,r_thumb_force_sensor_2,,right_thumb_force_sensor_2_joint,fixed,-0.0080057,0.016443,0.0096921,-1.041,1.3851,-0.037357,right_thumb_3,0,0,0,,,,,,,,,,,,
right_thumb_4,-0.0145365882657774,0.00794110814501616,0.00759016905292273,0,0,0,0.0106030215996978,1.2831808310795E-06,2.46085177280956E-07,1.4971038875118E-08,6.83034916007972E-07,4.34072089056371E-08,1.20091472733615E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_4.STL,,DMZ0219_L_R-1/拇指指尖外壳V2.0-0529_L_R-2;DMZ0219_L_R-1/拇指指尖橡胶V2.0_L_R-1,l_4,a_4,right_thumb_4_joint,revolute,-0.01865,0.013373,-0.0022731,0,0,0,right_thumb_3,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_force_sensor_3,-2.5107148976522E-07,-0.000696658150200258,-0.000425102019813703,0,0,0,0.000169893832350009,3.91696226730881E-09,2.31955134193414E-14,-2.76639995099676E-13,1.41883536310886E-09,1.72950699351222E-10,5.29525439677813E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_thumb_force_sensor_3.STL,,DMZ0219_L_R-1/拇指指尖传感器2_L_R-1,r_thumb_force_sensor_3,,right_thumb_force_sensor_3_joint,fixed,-0.0076345,0.020486,0.0088067,-0.64083,1.3963,4.2914E-05,right_thumb_4,0,0,0,,,,,,,,,,,,
