Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000129826516506615,-0.00373209820390109,0.0826860453890524,0,0,0,0.259476858298873,0.000221307823686699,1.16490748163886E-06,-5.80325306205011E-07,0.00026513454780435,1.55187520961687E-05,0.000132311385681939,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/base_link.STL,,镜向RH56DFTP-0R-2/镜向零件1-3;镜向RH56DFTP-0R-2/镜向RH56-8 驱动器推杆螺丝 四指 （新）-3;镜向RH56DFTP-0R-2/镜向RH56-8 驱动器推杆螺丝 四指 （新）-1;镜向RH56DFTP-0R-2/镜向027掌心力控模型-1;镜向RH56DFTP-0R-2/镜向027掌心力控模型1-1;镜向RH56DFTP-0R-2/镜向最新027力控版本3-1;镜向RH56DFTP-0R-2/镜向零件1-2;镜向RH56DFTP-0R-2/镜向最新027力控版本2-1;镜向RH56DFTP-0R-2/镜向RH56-8 驱动器推杆螺丝 四指 （新）-4;镜向RH56DFTP-0R-2/镜向垫圈-1;镜向RH56DFTP-0R-2/镜向零件1-1;镜向RH56DFTP-0R-2/镜向力控球轴承-球笼A-4;镜向RH56DFTP-0R-2/镜向力控球轴承-球笼A-2;镜向RH56DFTP-0R-2/镜向力控球轴承-球笼A-1;镜向RH56DFTP-0R-2/镜向手掌外观0910.stp-1;镜向RH56DFTP-0R-2/镜向力控球轴承-球笼A-3;镜向RH56DFTP-0R-2/镜向RH56-8 驱动器推杆螺丝 四指 （新）-2;镜向RH56DFTP-0R-2/镜向最新027力控版本-1;镜向RH56DFTP-0R-2/镜向最新027力控版本1-1;镜向RH56DFTP-0R-2/镜向掌心定位-1;镜向RH56DFTP-0R-2/镜向骨架组件-1;镜向RH56DFTP-0R-2/镜向侧摆齿条-1;镜向RH56DFTP-0R-2/镜向法兰franka-1;镜向RH56DFTP-0R-2/镜向四代手接插件(6).step-1;镜向RH56DFTP-0R-2/镜向航插-1;镜向RH56DFTP-0R-2/镜向弯曲齿条-1,坐标系13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
palm_force_sensor,-0.000120093335198468,0.000717297413647363,-0.000692889069965119,0,0,0,0.0024088655626815,1.79237847416137E-07,-3.62335250998281E-10,2.06838829668637E-10,5.01887324843558E-07,-4.23537057624967E-10,6.80017237748533E-07,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/palm_force_sensor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/palm_force_sensor.STL,,镜向RH56DFTP-0R-2/镜向掌心定位-1,坐标系25,,palm_force_sensor_joint,fixed,0.00036819,0.012296,0.1196,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
left_thumb_1,0.000892587008927997,0.000344904925262568,0.00159994421521059,0,0,0,0.00163186080347869,1.2983519872666E-07,5.71160209319418E-09,-1.48758983716317E-08,1.11222049064813E-07,-2.10520897820255E-09,7.03400599726425E-08,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_1.STL,,镜向RH56DFTP-0R-2/镜向摆杆家那件-1,坐标系1,基准轴1,left_thumb_1_joint,revolute,0.0269,0.02101,0.0689,0,0,0,base_link,0,0,-1,10,1,0,1,,,,,,,,
left_thumb_2,-0.0138338557330702,0.0119064253484683,-0.00884568682807551,0,0,0,0.00629310497085397,1.06992620749386E-06,7.73895281587509E-08,-1.82300078409443E-09,9.94179895508654E-07,-2.14768595156751E-09,1.3509537005286E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_2.STL,,镜向RH56DFTP-0R-2/镜向DMZ-1/镜向零件5^DMZ-1,坐标系2,基准轴2,left_thumb_2_joint,revolute,0.0073431,0.011232,0.0052,1.5708,0,-2.8798,left_thumb_1,0,0,-1,10,1,0,1,,,,,,,,
thumb_force_sensor_1,1.66858232989106E-05,-1.15630711571557E-05,-0.00107124647646149,0,0,0,0.000424630261957478,9.01122065715071E-09,2.06673401316216E-14,-2.31198472922296E-12,4.94557964402789E-09,-1.1789230357668E-11,1.35651342806704E-08,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_1.STL,,镜向RH56DFTP-0R-2/镜向大拇指近端传感器-1,坐标系14,,thumb_force_sensor_1_joint,fixed,-0.0087121,0.026305,-0.0089605,1.2213,-1.5708,0,left_thumb_2,0,0,0,,,,,,,,,,,,
left_thumb_3,-0.0108800191783186,0.00425952831010942,-0.0076501712330704,0,0,0,0.00428063380304447,5.19553148414743E-07,1.00409055606659E-07,-1.22260512341586E-10,5.03386725498716E-07,2.62527191934887E-11,5.33624332749317E-07,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_3.STL,,镜向RH56DFTP-0R-2/镜向DMZ-1/镜向拇指中节-1,坐标系3,基准轴3,left_thumb_3_joint,revolute,-0.031403,0.021069,-0.001299,0,0,0,left_thumb_2,0,0,-1,10,1,0,1,,,,,,,,
thumb_force_sensor_2,2.43332410831479E-05,-5.44992472824302E-05,-0.00109137310434532,0,0,0,9.06121246347756E-05,3.34748296277895E-10,3.77358736112024E-14,-3.52273723202259E-13,3.35821649138781E-10,-1.08964939417375E-12,5.88578470286886E-10,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_2.STL,,镜向RH56DFTP-0R-2/镜向中节传感器-1,坐标系15,,thumb_force_sensor_2_joint,fixed,-0.011771,0.01699,-0.0077514,-1.8405,-1.5705,0,left_thumb_3,0,0,0,,,,,,,,,,,,
left_thumb_4,-0.0163213563394194,0.00521928641987035,-0.00735104436106706,0,0,0,0.00878940797618241,5.94897206401284E-07,2.54251361887254E-07,5.54085992162471E-11,7.79202349429445E-07,8.89651119807489E-11,8.99824190088835E-07,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_thumb_4.STL,,镜向RH56DFTP-0R-2/镜向DMZ-1/镜向大拇指支架啊-1,坐标系4,基准轴4,left_thumb_4_joint,revolute,-0.021903,0.012816,-0.0003,0,0,0,left_thumb_3,0,0,-1,10,1,0,1,,,,,,,,
thumb_force_sensor_3,-1.23189696923445E-05,0.000195538975680837,-0.000792005365136905,0,0,0,0.000276852313379015,5.41173490291494E-09,-4.87700447907193E-13,6.30024679424638E-13,2.55896079923591E-09,-3.82351468308955E-11,7.82764624814665E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_3.STL,,镜向RH56DFTP-0R-2/镜向拇指指尖传感器-1,坐标系16,,thumb_force_sensor_3_joint,fixed,-0.014598,0.014721,-0.0073103,0.18602,-1.5708,-2.2971,left_thumb_4,0,0,0,,,,,,,,,,,,
thumb_force_sensor_4,-8.78777579448042E-07,-0.000270130629645191,-0.00100448285176212,0,0,0,5.0258739392813E-05,8.13578898809676E-11,-2.5551631994433E-14,-2.01520896001797E-14,1.70778531226233E-10,3.77224272937059E-12,2.11644262323665E-10,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/thumb_force_sensor_4.STL,,镜向RH56DFTP-0R-2/镜向拇指指尖啊啊-1,坐标系26,,thumb_force_sensor_4_joint,fixed,-0.028987,0.017301,-0.0073513,2.0775,1.5708,0,left_thumb_4,0,0,0,,,,,,,,,,,,
